"filename", "language", "Go Checksum File", "Go", "Go Template File", "pip requirements", "Go Module File", "comment", "blank", "total"
"/home/mini-k8s/cmd/apiserver.go", "Go", 0, 5, 0, 0, 0, 0, 3, 8
"/home/mini-k8s/cmd/controller.go", "Go", 0, 5, 0, 0, 0, 0, 3, 8
"/home/mini-k8s/cmd/kubectl.go", "Go", 0, 10, 0, 0, 0, 0, 3, 13
"/home/mini-k8s/cmd/kubelet.go", "Go", 0, 47, 0, 0, 0, 0, 8, 55
"/home/mini-k8s/cmd/kubeproxy.go", "Go", 0, 5, 0, 0, 0, 0, 3, 8
"/home/mini-k8s/cmd/scheduler.go", "Go", 0, 52, 0, 0, 0, 0, 9, 61
"/home/mini-k8s/cmd/serverless.go", "Go", 0, 5, 0, 0, 0, 0, 4, 9
"/home/mini-k8s/go.mod", "Go Module File", 0, 0, 0, 0, 95, 0, 4, 99
"/home/mini-k8s/go.sum", "Go Checksum File", 1188, 0, 0, 0, 0, 0, 1, 1189
"/home/mini-k8s/pkg/apiobject/autoscaler.go", "Go", 0, 239, 0, 0, 0, 0, 32, 271
"/home/mini-k8s/pkg/apiobject/dnsrecord.go", "Go", 0, 38, 0, 0, 0, 0, 8, 46
"/home/mini-k8s/pkg/apiobject/dnsrecord_test.go", "Go", 0, 10, 0, 0, 0, 0, 2, 12
"/home/mini-k8s/pkg/apiobject/doc.go", "Go", 0, 1, 0, 0, 0, 0, 1, 2
"/home/mini-k8s/pkg/apiobject/endpoint.go", "Go", 0, 37, 0, 0, 0, 0, 7, 44
"/home/mini-k8s/pkg/apiobject/function.go", "Go", 0, 29, 0, 0, 0, 0, 6, 35
"/home/mini-k8s/pkg/apiobject/metrics.go", "Go", 0, 93, 0, 0, 0, 0, 15, 108
"/home/mini-k8s/pkg/apiobject/node.go", "Go", 0, 207, 0, 0, 0, 0, 23, 230
"/home/mini-k8s/pkg/apiobject/node_test.go", "Go", 0, 28, 0, 0, 0, 0, 6, 34
"/home/mini-k8s/pkg/apiobject/object.go", "Go", 0, 24, 0, 0, 0, 0, 7, 31
"/home/mini-k8s/pkg/apiobject/pod.go", "Go", 0, 166, 0, 0, 0, 0, 25, 191
"/home/mini-k8s/pkg/apiobject/pod_test.go", "Go", 0, 19, 0, 0, 0, 0, 6, 25
"/home/mini-k8s/pkg/apiobject/replication.go", "Go", 0, 95, 0, 0, 0, 0, 18, 113
"/home/mini-k8s/pkg/apiobject/replication_test.go", "Go", 0, 23, 0, 0, 0, 0, 4, 27
"/home/mini-k8s/pkg/apiobject/service.go", "Go", 0, 127, 0, 0, 0, 0, 26, 153
"/home/mini-k8s/pkg/apiobject/utils/duration.go", "Go", 0, 41, 0, 0, 0, 0, 9, 50
"/home/mini-k8s/pkg/apiobject/utils/quantity.go", "Go", 0, 10, 0, 0, 0, 0, 6, 16
"/home/mini-k8s/pkg/apiobject/utils/time.go", "Go", 0, 152, 0, 0, 0, 0, 30, 182
"/home/mini-k8s/pkg/controller/HPAcontroller.go", "Go", 0, 281, 0, 0, 0, 0, 37, 318
"/home/mini-k8s/pkg/controller/manager.go", "Go", 0, 19, 0, 0, 0, 0, 6, 25
"/home/mini-k8s/pkg/controller/rscontroller.go", "Go", 0, 188, 0, 0, 0, 0, 40, 228
"/home/mini-k8s/pkg/controller/svccontroller.go", "Go", 0, 188, 0, 0, 0, 0, 40, 228
"/home/mini-k8s/pkg/controller/svccontroller_test.go", "Go", 0, 94, 0, 0, 0, 0, 15, 109
"/home/mini-k8s/pkg/kubeapiserver/apimachinery/apiserver.go", "Go", 0, 98, 0, 0, 0, 0, 13, 111
"/home/mini-k8s/pkg/kubeapiserver/apimachinery/routeInstaller.go", "Go", 0, 40, 0, 0, 0, 0, 8, 48
"/home/mini-k8s/pkg/kubeapiserver/controlplane/instance.go", "Go", 0, 24, 0, 0, 0, 0, 4, 28
"/home/mini-k8s/pkg/kubeapiserver/controlplane/service.go", "Go", 0, 13, 0, 0, 0, 0, 2, 15
"/home/mini-k8s/pkg/kubeapiserver/doc.go", "Go", 0, 1, 0, 0, 0, 0, 1, 2
"/home/mini-k8s/pkg/kubeapiserver/handlers/dnshandler.go", "Go", 0, 222, 0, 0, 0, 0, 31, 253
"/home/mini-k8s/pkg/kubeapiserver/handlers/endpointhandler.go", "Go", 0, 227, 0, 0, 0, 0, 32, 259
"/home/mini-k8s/pkg/kubeapiserver/handlers/functionhandler.go", "Go", 0, 166, 0, 0, 0, 0, 26, 192
"/home/mini-k8s/pkg/kubeapiserver/handlers/handlertable.go", "Go", 0, 32, 0, 0, 0, 0, 7, 39
"/home/mini-k8s/pkg/kubeapiserver/handlers/nodehandler.go", "Go", 0, 126, 0, 0, 0, 0, 18, 144
"/home/mini-k8s/pkg/kubeapiserver/handlers/nodehandler_test.go", "Go", 0, 52, 0, 0, 0, 0, 11, 63
"/home/mini-k8s/pkg/kubeapiserver/handlers/podhandler.go", "Go", 0, 333, 0, 0, 0, 0, 45, 378
"/home/mini-k8s/pkg/kubeapiserver/handlers/podhandler_test.go", "Go", 0, 78, 0, 0, 0, 0, 22, 100
"/home/mini-k8s/pkg/kubeapiserver/handlers/replicahandler.go", "Go", 0, 224, 0, 0, 0, 0, 32, 256
"/home/mini-k8s/pkg/kubeapiserver/handlers/replicationhandler.go", "Go", 0, 216, 0, 0, 0, 0, 32, 248
"/home/mini-k8s/pkg/kubeapiserver/handlers/routeInstaller.go", "Go", 0, 32, 0, 0, 0, 0, 6, 38
"/home/mini-k8s/pkg/kubeapiserver/handlers/servicehandler.go", "Go", 0, 227, 0, 0, 0, 0, 34, 261
"/home/mini-k8s/pkg/kubeapiserver/run.go", "Go", 0, 11, 0, 0, 0, 0, 3, 14
"/home/mini-k8s/pkg/kubeapiserver/storage/ectd_test.go", "Go", 0, 90, 0, 0, 0, 0, 15, 105
"/home/mini-k8s/pkg/kubeapiserver/storage/etcd.go", "Go", 0, 236, 0, 0, 0, 0, 30, 266
"/home/mini-k8s/pkg/kubeapiserver/testing/basicserver_test.go", "Go", 0, 15, 0, 0, 0, 0, 4, 19
"/home/mini-k8s/pkg/kubeapiserver/watch/list.go", "Go", 0, 42, 0, 0, 0, 0, 16, 58
"/home/mini-k8s/pkg/kubeapiserver/watch/watch.go", "Go", 0, 84, 0, 0, 0, 0, 15, 99
"/home/mini-k8s/pkg/kubeapiserver/watch/watchtable.go", "Go", 0, 5, 0, 0, 0, 0, 4, 9
"/home/mini-k8s/pkg/kubectl/cmd/apply.go", "Go", 0, 41, 0, 0, 0, 0, 8, 49
"/home/mini-k8s/pkg/kubectl/cmd/delete.go", "Go", 0, 37, 0, 0, 0, 0, 7, 44
